orderid,customerid,employeeid,employee,orderdate,orderyear,duedate,shippeddate,saleamount,productid,unitprice,quantity,percentdiscount
10256,WELLI,3,Janet Leverling,7/15/19,2019,8/12/19,7/17/19,393,53,26.2,15,0
10256,WELLI,3,Janet Leverling,7/15/19,2019,8/12/19,7/17/19,124.8,77,10.4,12,0
10257,HILAA,4,Margaret Peacock,7/16/19,2019,8/13/19,7/22/19,877.5,27,35.1,25,0
10257,HILAA,4,Margaret Peacock,7/16/19,2019,8/13/19,7/22/19,86.4,39,14.4,6,0
10257,HILAA,4,Margaret Peacock,7/16/19,2019,8/13/19,7/22/19,156,77,10.4,15,0
10258,ERNSH,1,Nancy Davolio,7/17/19,2019,8/14/19,7/23/19,760,2,15.2,50,20
10258,ERNSH,1,Nancy Davolio,7/17/19,2019,8/14/19,7/23/19,1105,5,17,65,20
10258,ERNSH,1,Nancy Davolio,7/17/19,2019,8/14/19,7/23/19,153.6,32,25.6,6,20
10259,CENTC,4,Margaret Peacock,7/18/19,2019,8/15/19,7/25/19,80,21,8,10,0
10259,CENTC,4,Margaret Peacock,7/18/19,2019,8/15/19,7/25/19,20.8,37,20.8,1,0
10260,OTTIK,4,Margaret Peacock,7/19/19,2019,8/16/19,7/29/19,123.2,41,7.7,16,25
10260,OTTIK,4,Margaret Peacock,7/19/19,2019,8/16/19,7/29/19,780,57,15.6,50,0
10260,OTTIK,4,Margaret Peacock,7/19/19,2019,8/16/19,7/29/19,591,62,39.4,15,25
10260,OTTIK,4,Margaret Peacock,7/19/19,2019,8/16/19,7/29/19,252,70,12,21,25
10261,QUEDE,4,Margaret Peacock,7/19/19,2019,8/16/19,7/30/19,160,21,8,20,0
10261,QUEDE,4,Margaret Peacock,7/19/19,2019,8/16/19,7/30/19,288,35,14.4,20,0
10262,RATTC,8,Laura Callahan,7/22/19,2019,8/19/19,7/25/19,204,5,17,12,20
10262,RATTC,8,Laura Callahan,7/22/19,2019,8/19/19,7/25/19,360,7,24,15,0
10262,RATTC,8,Laura Callahan,7/22/19,2019,8/19/19,7/25/19,60.8,56,30.4,2,0
10263,ERNSH,9,Anne Dodsworth,7/23/19,2019,8/20/19,7/31/19,834,16,13.9,60,25
10263,ERNSH,9,Anne Dodsworth,7/23/19,2019,8/20/19,7/31/19,100.8,24,3.6,28,0
10263,ERNSH,9,Anne Dodsworth,7/23/19,2019,8/20/19,7/31/19,1242,30,20.7,60,25
10263,ERNSH,9,Anne Dodsworth,7/23/19,2019,8/20/19,7/31/19,288,74,8,36,25
10264,FOLKO,6,Michael Suyama,7/24/19,2019,8/21/19,8/23/19,532,2,15.2,35,0
10264,FOLKO,6,Michael Suyama,7/24/19,2019,8/21/19,8/23/19,192.5,41,7.7,25,15
10265,BLONP,2,Andrew Fuller,7/25/19,2019,8/22/19,8/12/19,936,17,31.2,30,0
10265,BLONP,2,Andrew Fuller,7/25/19,2019,8/22/19,8/12/19,240,70,12,20,0
10266,WARTH,3,Janet Leverling,7/26/19,2019,9/6/19,7/31/19,364.8,12,30.4,12,5
10267,FRANK,4,Margaret Peacock,7/29/19,2019,8/26/19,8/6/19,735,40,14.7,50,0
10267,FRANK,4,Margaret Peacock,7/29/19,2019,8/26/19,8/6/19,3080,59,44,70,15
10267,FRANK,4,Margaret Peacock,7/29/19,2019,8/26/19,8/6/19,216,76,14.4,15,15
10268,GROSR,8,Laura Callahan,7/30/19,2019,8/27/19,8/2/19,990,29,99,10,0
10268,GROSR,8,Laura Callahan,7/30/19,2019,8/27/19,8/2/19,111.2,72,27.8,4,0
10269,WHITC,5,Steven Buchanan,7/31/19,2019,8/14/19,8/9/19,120,33,2,60,5
10269,WHITC,5,Steven Buchanan,7/31/19,2019,8/14/19,8/9/19,556,72,27.8,20,5
10270,WARTH,1,Nancy Davolio,8/1/19,2019,8/29/19,8/2/19,456,36,15.2,30,0
10270,WARTH,1,Nancy Davolio,8/1/19,2019,8/29/19,8/2/19,920,43,36.8,25,0
10271,SPLIR,6,Michael Suyama,8/1/19,2019,8/29/19,8/30/19,48,33,2,24,0
10272,RATTC,6,Michael Suyama,8/2/19,2019,8/30/19,8/6/19,388.8,20,64.8,6,0
10272,RATTC,6,Michael Suyama,8/2/19,2019,8/30/19,8/6/19,400,31,10,40,0
10272,RATTC,6,Michael Suyama,8/2/19,2019,8/30/19,8/6/19,667.2,72,27.8,24,0
10273,QUICK,3,Janet Leverling,8/5/19,2019,9/2/19,8/12/19,595.2,10,24.8,24,5
10273,QUICK,3,Janet Leverling,8/5/19,2019,9/2/19,8/12/19,150,31,10,15,5
10273,QUICK,3,Janet Leverling,8/5/19,2019,9/2/19,8/12/19,40,33,2,20,0
10273,QUICK,3,Janet Leverling,8/5/19,2019,9/2/19,8/12/19,882,40,14.7,60,5
10273,QUICK,3,Janet Leverling,8/5/19,2019,9/2/19,8/12/19,475.2,76,14.4,33,5
10274,VINET,6,Michael Suyama,8/6/19,2019,9/3/19,8/16/19,344,71,17.2,20,0
10274,VINET,6,Michael Suyama,8/6/19,2019,9/3/19,8/16/19,194.6,72,27.8,7,0
10275,MAGAA,1,Nancy Davolio,8/7/19,2019,9/4/19,8/9/19,43.2,24,3.6,12,5
10275,MAGAA,1,Nancy Davolio,8/7/19,2019,9/4/19,8/9/19,264,59,44,6,5
10276,TORTU,8,Laura Callahan,8/8/19,2019,8/22/19,8/14/19,372,10,24.8,15,0
10276,TORTU,8,Laura Callahan,8/8/19,2019,8/22/19,8/14/19,48,13,4.8,10,0
10277,MORGK,2,Andrew Fuller,8/9/19,2019,9/6/19,8/13/19,728,28,36.4,20,0
10277,MORGK,2,Andrew Fuller,8/9/19,2019,9/6/19,8/13/19,472.8,62,39.4,12,0
10278,BERGS,8,Laura Callahan,8/12/19,2019,9/9/19,8/16/19,248,44,15.5,16,0
10278,BERGS,8,Laura Callahan,8/12/19,2019,9/9/19,8/16/19,660,59,44,15,0
10278,BERGS,8,Laura Callahan,8/12/19,2019,9/9/19,8/16/19,280.8,63,35.1,8,0
10278,BERGS,8,Laura Callahan,8/12/19,2019,9/9/19,8/16/19,300,73,12,25,0
10279,LEHMS,8,Laura Callahan,8/13/19,2019,9/10/19,8/16/19,468,17,31.2,15,25
10280,BERGS,2,Andrew Fuller,8/14/19,2019,9/11/19,9/12/19,43.2,24,3.6,12,0
10280,BERGS,2,Andrew Fuller,8/14/19,2019,9/11/19,9/12/19,384,55,19.2,20,0
10280,BERGS,2,Andrew Fuller,8/14/19,2019,9/11/19,9/12/19,186,75,6.2,30,0
10281,ROMEY,4,Margaret Peacock,8/14/19,2019,8/28/19,8/21/19,7.3,19,7.3,1,0
10281,ROMEY,4,Margaret Peacock,8/14/19,2019,8/28/19,8/21/19,21.6,24,3.6,6,0
10281,ROMEY,4,Margaret Peacock,8/14/19,2019,8/28/19,8/21/19,57.6,35,14.4,4,0
10282,ROMEY,4,Margaret Peacock,8/15/19,2019,9/12/19,8/21/19,124.2,30,20.7,6,0
10282,ROMEY,4,Margaret Peacock,8/15/19,2019,9/12/19,8/21/19,31.2,57,15.6,2,0
10283,LILAS,3,Janet Leverling,8/16/19,2019,9/13/19,8/23/19,248,15,12.4,20,0
10283,LILAS,3,Janet Leverling,8/16/19,2019,9/13/19,8/23/19,131.4,19,7.3,18,0
10283,LILAS,3,Janet Leverling,8/16/19,2019,9/13/19,8/23/19,952,60,27.2,35,0
10283,LILAS,3,Janet Leverling,8/16/19,2019,9/13/19,8/23/19,83.4,72,27.8,3,0
10284,LEHMS,4,Margaret Peacock,8/19/19,2019,9/16/19,8/27/19,526.5,27,35.1,15,25
10284,LEHMS,4,Margaret Peacock,8/19/19,2019,9/16/19,8/27/19,325.5,44,15.5,21,0
10284,LEHMS,4,Margaret Peacock,8/19/19,2019,9/16/19,8/27/19,544,60,27.2,20,25
10284,LEHMS,4,Margaret Peacock,8/19/19,2019,9/16/19,8/27/19,56,67,11.2,5,25
10285,QUICK,1,Nancy Davolio,8/20/19,2019,9/17/19,8/26/19,648,1,14.4,45,20
10285,QUICK,1,Nancy Davolio,8/20/19,2019,9/17/19,8/26/19,588,40,14.7,40,20
10285,QUICK,1,Nancy Davolio,8/20/19,2019,9/17/19,8/26/19,943.2,53,26.2,36,20
10286,QUICK,8,Laura Callahan,8/21/19,2019,9/18/19,8/30/19,1440,35,14.4,100,0
10286,QUICK,8,Laura Callahan,8/21/19,2019,9/18/19,8/30/19,1576,62,39.4,40,0
10287,RICAR,8,Laura Callahan,8/22/19,2019,9/19/19,8/28/19,556,16,13.9,40,15
10287,RICAR,8,Laura Callahan,8/22/19,2019,9/19/19,8/28/19,224,34,11.2,20,0
10287,RICAR,8,Laura Callahan,8/22/19,2019,9/19/19,8/28/19,144,46,9.6,15,15
10288,REGGC,4,Margaret Peacock,8/23/19,2019,9/20/19,9/3/19,59,54,5.9,10,10
10288,REGGC,4,Margaret Peacock,8/23/19,2019,9/20/19,9/3/19,30,68,10,3,10
10289,BSBEV,7,Robert King,8/26/19,2019,9/23/19,8/28/19,240,3,8,30,0
10289,BSBEV,7,Robert King,8/26/19,2019,9/23/19,8/28/19,239.4,64,26.6,9,0
10290,COMMI,8,Laura Callahan,8/27/19,2019,9/24/19,9/3/19,340,5,17,20,0
10290,COMMI,8,Laura Callahan,8/27/19,2019,9/24/19,9/3/19,1485,29,99,15,0
10290,COMMI,8,Laura Callahan,8/27/19,2019,9/24/19,9/3/19,240,49,16,15,0
10290,COMMI,8,Laura Callahan,8/27/19,2019,9/24/19,9/3/19,104,77,10.4,10,0
10291,QUEDE,6,Michael Suyama,8/27/19,2019,9/24/19,9/4/19,96,13,4.8,20,10
10291,QUEDE,6,Michael Suyama,8/27/19,2019,9/24/19,9/4/19,372,44,15.5,24,10
10291,QUEDE,6,Michael Suyama,8/27/19,2019,9/24/19,9/4/19,84.8,51,42.4,2,10
10292,TRADH,1,Nancy Davolio,8/28/19,2019,9/25/19,9/2/19,1296,20,64.8,20,0
10293,TORTU,1,Nancy Davolio,8/29/19,2019,9/26/19,9/11/19,600,18,50,12,0
10293,TORTU,1,Nancy Davolio,8/29/19,2019,9/26/19,9/11/19,36,24,3.6,10,0
10293,TORTU,1,Nancy Davolio,8/29/19,2019,9/26/19,9/11/19,175.5,63,35.1,5,0
10293,TORTU,1,Nancy Davolio,8/29/19,2019,9/26/19,9/11/19,37.2,75,6.2,6,0
10294,RATTC,4,Margaret Peacock,8/30/19,2019,9/27/19,9/5/19,259.2,1,14.4,18,0
10294,RATTC,4,Margaret Peacock,8/30/19,2019,9/27/19,9/5/19,468,17,31.2,15,0
10294,RATTC,4,Margaret Peacock,8/30/19,2019,9/27/19,9/5/19,552,43,36.8,15,0
10294,RATTC,4,Margaret Peacock,8/30/19,2019,9/27/19,9/5/19,571.2,60,27.2,21,0
10294,RATTC,4,Margaret Peacock,8/30/19,2019,9/27/19,9/5/19,37.2,75,6.2,6,0
10295,VINET,2,Andrew Fuller,9/2/19,2019,9/30/19,9/10/19,121.6,56,30.4,4,0
10296,LILAS,6,Michael Suyama,9/3/19,2019,10/1/19,9/11/19,201.6,11,16.8,12,0
10296,LILAS,6,Michael Suyama,9/3/19,2019,10/1/19,9/11/19,417,16,13.9,30,0
10296,LILAS,6,Michael Suyama,9/3/19,2019,10/1/19,9/11/19,432,69,28.8,15,0
10297,BLONP,5,Steven Buchanan,9/4/19,2019,10/16/19,9/10/19,864,39,14.4,60,0
10297,BLONP,5,Steven Buchanan,9/4/19,2019,10/16/19,9/10/19,556,72,27.8,20,0
10298,HUNGO,6,Michael Suyama,9/5/19,2019,10/3/19,9/11/19,608,2,15.2,40,0
10298,HUNGO,6,Michael Suyama,9/5/19,2019,10/3/19,9/11/19,608,36,15.2,40,25
10298,HUNGO,6,Michael Suyama,9/5/19,2019,10/3/19,9/11/19,1320,59,44,30,25
10298,HUNGO,6,Michael Suyama,9/5/19,2019,10/3/19,9/11/19,591,62,39.4,15,0
10299,RICAR,4,Margaret Peacock,9/6/19,2019,10/4/19,9/13/19,109.5,19,7.3,15,0
10299,RICAR,4,Margaret Peacock,9/6/19,2019,10/4/19,9/13/19,240,70,12,20,0
10300,MAGAA,2,Andrew Fuller,9/9/19,2019,10/7/19,9/18/19,408,66,13.6,30,0
10300,MAGAA,2,Andrew Fuller,9/9/19,2019,10/7/19,9/18/19,200,68,10,20,0
10301,WANDK,8,Laura Callahan,9/9/19,2019,10/7/19,9/17/19,147,40,14.7,10,0
10301,WANDK,8,Laura Callahan,9/9/19,2019,10/7/19,9/17/19,608,56,30.4,20,0
10302,SUPRD,4,Margaret Peacock,9/10/19,2019,10/8/19,10/9/19,1248,17,31.2,40,0
10302,SUPRD,4,Margaret Peacock,9/10/19,2019,10/8/19,10/9/19,1019.2,28,36.4,28,0
10302,SUPRD,4,Margaret Peacock,9/10/19,2019,10/8/19,10/9/19,441.6,43,36.8,12,0
10303,GODOS,7,Robert King,9/11/19,2019,10/9/19,9/18/19,588,40,14.7,40,10
10303,GODOS,7,Robert King,9/11/19,2019,10/9/19,9/18/19,504,65,16.8,30,10
10303,GODOS,7,Robert King,9/11/19,2019,10/9/19,9/18/19,150,68,10,15,10
10304,TORTU,1,Nancy Davolio,9/12/19,2019,10/10/19,9/17/19,480,49,16,30,0
10304,TORTU,1,Nancy Davolio,9/12/19,2019,10/10/19,9/17/19,440,59,44,10,0
10304,TORTU,1,Nancy Davolio,9/12/19,2019,10/10/19,9/17/19,34.4,71,17.2,2,0
10305,OLDWO,8,Laura Callahan,9/13/19,2019,10/11/19,10/9/19,1250,18,50,25,10
10305,OLDWO,8,Laura Callahan,9/13/19,2019,10/11/19,10/9/19,2475,29,99,25,10
10305,OLDWO,8,Laura Callahan,9/13/19,2019,10/11/19,10/9/19,432,39,14.4,30,10
10306,ROMEY,1,Nancy Davolio,9/16/19,2019,10/14/19,9/23/19,207,30,20.7,10,0
10306,ROMEY,1,Nancy Davolio,9/16/19,2019,10/14/19,9/23/19,262,53,26.2,10,0
10306,ROMEY,1,Nancy Davolio,9/16/19,2019,10/14/19,9/23/19,29.5,54,5.9,5,0
10307,LONEP,2,Andrew Fuller,9/17/19,2019,10/15/19,9/25/19,394,62,39.4,10,0
10307,LONEP,2,Andrew Fuller,9/17/19,2019,10/15/19,9/25/19,30,68,10,3,0
10308,ANATR,7,Robert King,9/18/19,2019,10/16/19,9/24/19,28.8,69,28.8,1,0
10308,ANATR,7,Robert King,9/18/19,2019,10/16/19,9/24/19,60,70,12,5,0
10309,HUNGO,3,Janet Leverling,9/19/19,2019,10/17/19,10/23/19,352,4,17.6,20,0
10309,HUNGO,3,Janet Leverling,9/19/19,2019,10/17/19,10/23/19,600,6,20,30,0
10309,HUNGO,3,Janet Leverling,9/19/19,2019,10/17/19,10/23/19,22.4,42,11.2,2,0
10309,HUNGO,3,Janet Leverling,9/19/19,2019,10/17/19,10/23/19,736,43,36.8,20,0
10309,HUNGO,3,Janet Leverling,9/19/19,2019,10/17/19,10/23/19,51.6,71,17.2,3,0
10310,THEBI,8,Laura Callahan,9/20/19,2019,10/18/19,9/27/19,139,16,13.9,10,0
10310,THEBI,8,Laura Callahan,9/20/19,2019,10/18/19,9/27/19,197,62,39.4,5,0
10311,DUMON,1,Nancy Davolio,9/20/19,2019,10/4/19,9/26/19,67.2,42,11.2,6,0
10311,DUMON,1,Nancy Davolio,9/20/19,2019,10/4/19,9/26/19,201.6,69,28.8,7,0
10312,WANDK,2,Andrew Fuller,9/23/19,2019,10/21/19,10/3/19,145.6,28,36.4,4,0
10312,WANDK,2,Andrew Fuller,9/23/19,2019,10/21/19,10/3/19,883.2,43,36.8,24,0
10312,WANDK,2,Andrew Fuller,9/23/19,2019,10/21/19,10/3/19,524,53,26.2,20,0
10312,WANDK,2,Andrew Fuller,9/23/19,2019,10/21/19,10/3/19,62,75,6.2,10,0
10313,QUICK,2,Andrew Fuller,9/24/19,2019,10/22/19,10/4/19,182.4,36,15.2,12,0
10314,RATTC,1,Nancy Davolio,9/25/19,2019,10/23/19,10/4/19,1024,32,25.6,40,10
10314,RATTC,1,Nancy Davolio,9/25/19,2019,10/23/19,10/4/19,318,58,10.6,30,10
10314,RATTC,1,Nancy Davolio,9/25/19,2019,10/23/19,10/4/19,985,62,39.4,25,10
10315,ISLAT,4,Margaret Peacock,9/26/19,2019,10/24/19,10/3/19,156.8,34,11.2,14,0
10315,ISLAT,4,Margaret Peacock,9/26/19,2019,10/24/19,10/3/19,360,70,12,30,0
10316,RATTC,1,Nancy Davolio,9/27/19,2019,10/25/19,10/8/19,77,41,7.7,10,0
10316,RATTC,1,Nancy Davolio,9/27/19,2019,10/25/19,10/8/19,2758,62,39.4,70,0
10317,LONEP,6,Michael Suyama,9/30/19,2019,10/28/19,10/10/19,288,1,14.4,20,0
10318,ISLAT,8,Laura Callahan,10/1/19,2019,10/29/19,10/4/19,154,41,7.7,20,0
10318,ISLAT,8,Laura Callahan,10/1/19,2019,10/29/19,10/4/19,86.4,76,14.4,6,0
10319,TORTU,7,Robert King,10/2/19,2019,10/30/19,10/11/19,249.6,17,31.2,8,0
10319,TORTU,7,Robert King,10/2/19,2019,10/30/19,10/11/19,509.6,28,36.4,14,0
10319,TORTU,7,Robert King,10/2/19,2019,10/30/19,10/11/19,432,76,14.4,30,0
10320,WARTH,5,Steven Buchanan,10/3/19,2019,10/17/19,10/18/19,516,71,17.2,30,0
10321,ISLAT,3,Janet Leverling,10/3/19,2019,10/31/19,10/11/19,144,35,14.4,10,0
10322,PERIC,7,Robert King,10/4/19,2019,11/1/19,10/23/19,112,52,5.6,20,0
10323,KOENE,4,Margaret Peacock,10/7/19,2019,11/4/19,10/14/19,62,15,12.4,5,0
10323,KOENE,4,Margaret Peacock,10/7/19,2019,11/4/19,10/14/19,44.8,25,11.2,4,0
10323,KOENE,4,Margaret Peacock,10/7/19,2019,11/4/19,10/14/19,57.6,39,14.4,4,0
10324,SAVEA,9,Anne Dodsworth,10/8/19,2019,11/5/19,10/10/19,291.9,16,13.9,21,15
10324,SAVEA,9,Anne Dodsworth,10/8/19,2019,11/5/19,10/10/19,1008,35,14.4,70,15
10324,SAVEA,9,Anne Dodsworth,10/8/19,2019,11/5/19,10/10/19,288,46,9.6,30,0
10324,SAVEA,9,Anne Dodsworth,10/8/19,2019,11/5/19,10/10/19,1760,59,44,40,15
10324,SAVEA,9,Anne Dodsworth,10/8/19,2019,11/5/19,10/10/19,2808,63,35.1,80,15
10325,KOENE,1,Nancy Davolio,10/9/19,2019,10/23/19,10/14/19,120,6,20,6,0
10325,KOENE,1,Nancy Davolio,10/9/19,2019,10/23/19,10/14/19,57.6,13,4.8,12,0
10325,KOENE,1,Nancy Davolio,10/9/19,2019,10/23/19,10/14/19,167.4,14,18.6,9,0
10325,KOENE,1,Nancy Davolio,10/9/19,2019,10/23/19,10/14/19,40,31,10,4,0
10325,KOENE,1,Nancy Davolio,10/9/19,2019,10/23/19,10/14/19,1112,72,27.8,40,0
10326,BOLID,4,Margaret Peacock,10/10/19,2019,11/7/19,10/14/19,422.4,4,17.6,24,0
10326,BOLID,4,Margaret Peacock,10/10/19,2019,11/7/19,10/14/19,249.6,57,15.6,16,0
10326,BOLID,4,Margaret Peacock,10/10/19,2019,11/7/19,10/14/19,310,75,6.2,50,0
10327,FOLKO,2,Andrew Fuller,10/11/19,2019,11/8/19,10/14/19,380,2,15.2,25,20
10327,FOLKO,2,Andrew Fuller,10/11/19,2019,11/8/19,10/14/19,840,11,16.8,50,20
10327,FOLKO,2,Andrew Fuller,10/11/19,2019,11/8/19,10/14/19,724.5,30,20.7,35,20
10327,FOLKO,2,Andrew Fuller,10/11/19,2019,11/8/19,10/14/19,318,58,10.6,30,20
10328,FURIB,4,Margaret Peacock,10/14/19,2019,11/11/19,10/17/19,396,59,44,9,0
10328,FURIB,4,Margaret Peacock,10/14/19,2019,11/11/19,10/17/19,672,65,16.8,40,0
10328,FURIB,4,Margaret Peacock,10/14/19,2019,11/11/19,10/17/19,100,68,10,10,0
10329,SPLIR,4,Margaret Peacock,10/15/19,2019,11/26/19,10/23/19,73,19,7.3,10,5
10329,SPLIR,4,Margaret Peacock,10/15/19,2019,11/26/19,10/23/19,165.6,30,20.7,8,5
10329,SPLIR,4,Margaret Peacock,10/15/19,2019,11/26/19,10/23/19,4216,38,210.8,20,5
10329,SPLIR,4,Margaret Peacock,10/15/19,2019,11/26/19,10/23/19,364.8,56,30.4,12,5
10330,LILAS,3,Janet Leverling,10/16/19,2019,11/13/19,10/28/19,1245,26,24.9,50,15
10330,LILAS,3,Janet Leverling,10/16/19,2019,11/13/19,10/28/19,695,72,27.8,25,15
10331,BONAP,9,Anne Dodsworth,10/16/19,2019,11/27/19,10/21/19,88.5,54,5.9,15,0
10332,MEREP,3,Janet Leverling,10/17/19,2019,11/28/19,10/21/19,2000,18,50,40,20
10332,MEREP,3,Janet Leverling,10/17/19,2019,11/28/19,10/21/19,112,42,11.2,10,20
10332,MEREP,3,Janet Leverling,10/17/19,2019,11/28/19,10/21/19,121.6,47,7.6,16,20
10333,WARTH,5,Steven Buchanan,10/18/19,2019,11/15/19,10/25/19,186,14,18.6,10,0
10333,WARTH,5,Steven Buchanan,10/18/19,2019,11/15/19,10/25/19,80,21,8,10,10
10333,WARTH,5,Steven Buchanan,10/18/19,2019,11/15/19,10/25/19,688,71,17.2,40,10
10334,VICTE,8,Laura Callahan,10/21/19,2019,11/18/19,10/28/19,44.8,52,5.6,8,0
10334,VICTE,8,Laura Callahan,10/21/19,2019,11/18/19,10/28/19,100,68,10,10,0
10335,HUNGO,7,Robert King,10/22/19,2019,11/19/19,10/24/19,106.4,2,15.2,7,20
10335,HUNGO,7,Robert King,10/22/19,2019,11/19/19,10/24/19,250,31,10,25,20
10335,HUNGO,7,Robert King,10/22/19,2019,11/19/19,10/24/19,153.6,32,25.6,6,20
10335,HUNGO,7,Robert King,10/22/19,2019,11/19/19,10/24/19,2035.2,51,42.4,48,20
10336,PRINI,7,Robert King,10/23/19,2019,11/20/19,10/25/19,316.8,4,17.6,18,10
10337,FRANK,4,Margaret Peacock,10/24/19,2019,11/21/19,10/29/19,288,23,7.2,40,0
10337,FRANK,4,Margaret Peacock,10/24/19,2019,11/21/19,10/29/19,597.6,26,24.9,24,0
10337,FRANK,4,Margaret Peacock,10/24/19,2019,11/21/19,10/29/19,304,36,15.2,20,0
10337,FRANK,4,Margaret Peacock,10/24/19,2019,11/21/19,10/29/19,582.4,37,20.8,28,0
10337,FRANK,4,Margaret Peacock,10/24/19,2019,11/21/19,10/29/19,695,72,27.8,25,0
10338,OLDWO,4,Margaret Peacock,10/25/19,2019,11/22/19,10/29/19,624,17,31.2,20,0
10338,OLDWO,4,Margaret Peacock,10/25/19,2019,11/22/19,10/29/19,310.5,30,20.7,15,0
10339,MEREP,2,Andrew Fuller,10/28/19,2019,11/25/19,11/4/19,176,4,17.6,10,0
10339,MEREP,2,Andrew Fuller,10/28/19,2019,11/25/19,11/4/19,2184,17,31.2,70,5
10339,MEREP,2,Andrew Fuller,10/28/19,2019,11/25/19,11/4/19,1103.2,62,39.4,28,0
10340,BONAP,1,Nancy Davolio,10/29/19,2019,11/26/19,11/8/19,1000,18,50,20,5
10340,BONAP,1,Nancy Davolio,10/29/19,2019,11/26/19,11/8/19,92.4,41,7.7,12,5
10340,BONAP,1,Nancy Davolio,10/29/19,2019,11/26/19,11/8/19,1472,43,36.8,40,5
10341,SIMOB,7,Robert King,10/29/19,2019,11/26/19,11/5/19,16,33,2,8,0
10341,SIMOB,7,Robert King,10/29/19,2019,11/26/19,11/5/19,396,59,44,9,15
10342,FRANK,4,Margaret Peacock,10/30/19,2019,11/13/19,11/4/19,364.8,2,15.2,24,20
10342,FRANK,4,Margaret Peacock,10/30/19,2019,11/13/19,11/4/19,560,31,10,56,20
10342,FRANK,4,Margaret Peacock,10/30/19,2019,11/13/19,11/4/19,608,36,15.2,40,20
10342,FRANK,4,Margaret Peacock,10/30/19,2019,11/13/19,11/4/19,768,55,19.2,40,20
10343,LEHMS,4,Margaret Peacock,10/31/19,2019,11/28/19,11/6/19,1330,64,26.6,50,0
10343,LEHMS,4,Margaret Peacock,10/31/19,2019,11/28/19,11/6/19,40,68,10,4,5
10343,LEHMS,4,Margaret Peacock,10/31/19,2019,11/28/19,11/6/19,216,76,14.4,15,0
10344,WHITC,4,Margaret Peacock,11/1/19,2019,11/29/19,11/5/19,616,4,17.6,35,0
10344,WHITC,4,Margaret Peacock,11/1/19,2019,11/29/19,11/5/19,2240,8,32,70,25
10345,QUICK,2,Andrew Fuller,11/4/19,2019,12/2/19,11/11/19,2240,8,32,70,0
10345,QUICK,2,Andrew Fuller,11/4/19,2019,12/2/19,11/11/19,584,19,7.3,80,0
10345,QUICK,2,Andrew Fuller,11/4/19,2019,12/2/19,11/11/19,100.8,42,11.2,9,0
10346,RATTC,3,Janet Leverling,11/5/19,2019,12/17/19,11/8/19,1123.2,17,31.2,36,10
10346,RATTC,3,Janet Leverling,11/5/19,2019,12/17/19,11/8/19,608,56,30.4,20,0
10347,FAMIA,4,Margaret Peacock,11/6/19,2019,12/4/19,11/8/19,112,25,11.2,10,0
